lang_pair,source,reference,gemma:7b,inner_id,produced_from,spatial_sense,error_type,target,bleu_score,meteor_score,bert_score,comet_score,ter_score
en_pt_br,"In fact, most of my career, I've been immersing myself into seemingly horrible situations for the whole goal of trying to examine societal issues in a way that make them engaging, that make them interesting, that hopefully break them down in a way that make them entertaining and accessible to an audience.","De fato, a maior parte de minha carreira, tenho estado imerso em situações aparentemente horríveis com o firme propósito de tentar examinar questões sociais de modo a torná-las empolgantes, torná-las interessantes, esperando quebrá-las de modo a torná-las divertidas e acessíveis a uma platéia.","Em verdade, a maioria da minha carreira foi dedicada a mergulhar em situações horríveis para explorar as questões sociais de uma forma que as torna envolventes, interessantes e, esperava, as desmonta para torná-las mais entretenentes e acessíveis para o público.",15936,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"gr, wt, in","De fato, a maior parte de minha carreira, tenho estado imerso em situações aparentemente horríveis com o firme propósito de tentar examinar questões sociais de modo a torná-las empolgantes, torná-las interessantes, esperando quebrá-las de modo a torná-las divertidas e acessíveis a uma platéia.",0.0051204852395651,0.0816326530612245,0.43001187,0.628574192523956,118.604651162791
en_pt_br,"So if we're serious about helping black boys and other children to read when it's not required, we need to incorporate relevant male reading models into early literacy and exchange some of the children's books that adults love so much for funny, silly or even gross books, like ""Gross Greg"".","Então, se estamos falando sério em ajudar as crianças a ler quando não for exigido, precisamos incorporar modelos de leitura relevantes no início da alfabetização e trocar alguns livros infantis que os adultos amam por livros engraçados, bobos ou até nojentos como o ""Gross Greg"".","Se queremos seriamente ajudar os meninos negros e outros crianças a ler quando não é necessário, precisamos incorporar modelos de leitura masculinos relevantes no desenvolvimento da leitura e trocar alguns livros para crianças que os adultos adoram por livros engraçados, ridulhosos ou até horríveis, como ""Gross Greg"".",25983,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"ag, wl, in","Então, se estamos falando sério em ajudar as crianças a ler quando não for exigido, precisamos incorporar modelos de leitura relevantes no início da alfabetização e trocar alguns livros infantis que os adultos amam por livros engraçados, bobos ou até nojentos como o ""Gross Greg"".",0.0666849324863637,0.158849325515992,0.4360828,0.567606568336487,106.666666666667
en_pt_br,"And for a moment I was wondering, are we going to live in order to see real change happening on the ground, a change that does not come through foreign intervention, through the misery of occupation, through nations invading our land and deepening the sense of inferiority sometimes?","E, por um momento, pensei será que viveremos o suficiente para ver mudanças reais acontecendo neste panorama, uma mudança que não seja por intervenção estrangeira, pela miséria da ocupação, de outras nações invadindo nossa terra e aprofundando, muitas vezes, o sentimento de inferioridade?","E por um momento pensava: vamos viver para ver um verdadeiro cambiamento no chão, um cambiamento que não surge de intervenção estrangeira, de miséria de ocupação, de nações a invadir o nosso país e aumentar a sensação de inferioridade, algumas vezes?",12042,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"wt, in, wl","E, por um momento, pensei será que viveremos o suficiente para ver mudanças reais acontecendo neste panorama, uma mudança que não seja por intervenção estrangeira, pela miséria da ocupação, de outras nações invadindo nossa terra e aprofundando, muitas vezes, o sentimento de inferioridade?",0.0051646114372149,0.048828125,0.45135248,0.572632372379303,111.627906976744
en_pt_br,"Moonlighting as a stand-up comedian for the past eight years, I understand the importance of cultural competency, which I define as the ability to translate what you want someone else to know or be able to do into communication or experiences that they find relevant and engaging.","Ao fazer bico como comediante nos últimos oito anos, eu entendi a importância da competência cultural, a qual eu defino como a habilidade de traduzir o que você quer que as pessoas saibam ou façam em comunicação ou experiências relevantes e envolventes para elas.","Trabalhando como comediante profissional durante os últimos oito anos, compreendi a importância da competência cultural, que defino como a capacidade de traduzir o que você deseja que alguém saiba ou seja capaz de fazer para comunicação ou experiências que eles encontram relevantes e envolventes.",25955,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"wl, ag","Ao fazer bico como comediante nos últimos oito anos, eu entendi a importância da competência cultural, a qual eu defino como a habilidade de traduzir o que você quer que as pessoas saibam ou façam em comunicação ou experiências relevantes e envolventes para elas.",0.0057399950473749,0.0739957716701902,0.4293126,0.631659924983978,106.818181818182
en_pt_br,"And what's interesting to me is that the teams that usually win are not the ones with the most experienced team members, but the ones with members who are open to learn, who are open to unlearn and who are open to helping each other navigate through the changing circumstances.","O mais interessante para mim é que as equipes vencedoras não são aquelas com membros de maior experiência, mas sim, as mais abertas a aprender, e a desaprender, abertas a auxiliar uma à outra, a navegar na alteração de circunstâncias.","O que me interessa é que os equipos que costumam vencer não são aqueles com membros mais experimentados, mas aqueles com membros que estão dispostos a aprender, a desaprendê-lo e que estão dispostos a ajudar uns aos outros a navegar pelas condições em constante mudança.",14465,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"in, wl, gr,","O mais interessante para mim é que as equipes vencedoras não são aquelas com membros de maior experiência, mas sim, as mais abertas a aprender, e a desaprender, abertas a auxiliar uma à outra, a navegar na alteração de circunstâncias.",0.0044588157485752,0.032051282051282,0.38517773,0.732900679111481,125.0
en_pt_br,"I'm taking the temperature of the canal outside, pumping it through the heat exchange mechanism, it's turning through these amazing sails on the roof, and that, in turn, is falling softly onto the people in the restaurant, cooling them, or heating them, as the need may be.","Eu pego a temperatura do canal na parte de fora, bombeio pelo mecanismo de troca de calor, e ele é conduzido à essas saídas maravilhosas pelo teto, e que, por sua vez, cai suavemente sobre as pessoas do restaurante, refrescando-os, ou aquecendo-os, como a necessidade mandar.","Estou a tomar a temperatura do canal fora, a bombá-la através do mecanismo de troca de calor, e está a girar por essas extraordinárias velas no teto, e isso, por sua vez, está a cair suavemente sobre as pessoas no restaurante, resfriándolas ou aquecê-las conforme necessário.",3274,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"in, sp, wl","Eu pego a temperatura do canal na parte de fora, bombeio pelo mecanismo de troca de calor, e ele é conduzido à essas saídas maravilhosas pelo teto, e que, por sua vez, cai suavemente sobre as pessoas do restaurante, refrescando-os, ou aquecendo-os, como a necessidade mandar.",0.0057330374648348,0.0994575045207956,0.43084678,0.584738671779633,100.0
en_pt_br,"What the global delivery model allows is, it allows you to take previously geographically core-located tasks, break them up into parts, send them around the world where the expertise and the cost structure exists, and then specify the means for reintegrating them.","O modelo de entrega global permite que você pegue tarefas geograficamente localizadas, separe-as em partes, mande estas partes para lugares do mundo nos quais existam experiência e estrutura de custos, e então especifique os meios para reintegrá-las.","O modelo global de entrega permite que você reveja tarefas geograficamente centradas anteriormente, as divida em partes, as envia pelo mundo onde há especialização e estrutura de custos, e então especifique os meios para reintegrá-las.",69937,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),wt,"O modelo de entrega global permite que você pegue tarefas geograficamente localizadas, separe-as em partes, mande estas partes para lugares do mundo nos quais existam experiência e estrutura de custos, e então especifique os meios para reintegrá-las.",0.005846046710803,0.0961538461538461,0.45452866,0.676580846309662,113.513513513514
en_pt_br,"However, if I today, then you tomorrow, maybe even more of us someday, if we embrace our right to look like ourselves, then in the world that's been violently whitewashed, we will become the pinpricks of color pushing through, much like those widows of Vrindavan.","No entanto, se eu hoje, depois você amanhã, talvez mais alguns de nós algum dia, se abraçarmos nosso direito de sermos nós mesmos, em um mundo que tem sido violentamente privado de cores, seremos esses raios de cores que abrem luz pelo caminho, como as viúvas de Vrindavan.","Se hoje eu, então amanhã você, talvez até mais algum dia, se abraçarmos o direito de nos parecermos a nós mesmos, então no mundo que foi violentamente branquizado, tornaremos os pontos-de-ferida da cor que se rompe através.",10769,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"om, gr, in, wl, ie","No entanto, se eu hoje, depois você amanhã, talvez mais alguns de nós algum dia, se abraçarmos nosso direito de sermos nós mesmos, em um mundo que tem sido violentamente privado de cores, seremos esses raios de cores que abrem luz pelo caminho, como as viúvas de Vrindavan.",0.0100557590675485,0.104650648258773,0.45299765,0.5312819480896,97.9166666666667
en_pt_br,"And through campus-level proceedings, Title IX goes so far as to give victims equitable rights during the campus process, which means that victims can represent their own interests during proceedings, rather than relying on educational institutions to do so.","E em processos no campus, o Título IX chega ao ponto de dar às vítimas direitos iguais durante o processo no campus, o que significa que vítimas podem representar seus próprios interesses, em vez de terem que contar com as instituições educacionais para tal.","E meio de processos no nível da instituição, o Título IX vai até o ponto de dar aos vítimas direitos equitativos durante o processo na instituição, o que significa que os vítimas podem representar os seus próprios interesses durante os processos, em vez de depender das instituições educacionais para o fazer.",72326,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(3),"gr, ag","E em processos no campus, o Título IX chega ao ponto de dar às vítimas direitos iguais durante o processo no campus, o que significa que vítimas podem representar seus próprios interesses, em vez de terem que contar com as instituições educacionais para tal.",0.0062070429873646,0.0736842105263158,0.43510714,0.731996715068817,97.7272727272727
en_pt_br,And the magic and the horror of that is that the same math that you use to break up the big thing into a million little things can be used to find a million little things and sew them back together and figure out what's actually happening in the market.,"E a mágica e o horror disso é que a mesma matemática que se usa para partir a coisa grande em milhões de coisinhas pode ser usada para encontrar um milhão de coisinhas e as emendar, todas juntas novamente e entender o que realmente está acontecendo no mercado.",A magia e o horror dessa situação é que o mesmo math que você usa para dividir o grande coisa num milhão de pequenas coisas pode ser usado para encontrar um milhão de pequenas coisas e colocá-las de volta em conjunto para entender o que realmente acontece no mercado.,27134,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"un, ag","E a mágica e o horror disso é que a mesma matemática que se usa para partir a coisa grande em milhões de coisinhas pode ser usada para encontrar um milhão de coisinhas e as emendar, todas juntas novamente e entender o que realmente está acontecendo no mercado.",0.0049811554679751,0.0398406374501992,0.36013722,0.618164360523224,102.083333333333
