lang_pair,source,reference,mistral,inner_id,produced_from,spatial_sense,error_type,bleu_score,meteor_score,bert_score,comet_score,ter_score
en_pt_br,"In fact, most of my career, I've been immersing myself into seemingly horrible situations for the whole goal of trying to examine societal issues in a way that make them engaging, that make them interesting, that hopefully break them down in a way that make them entertaining and accessible to an audience.","De fato, a maior parte de minha carreira, tenho estado imerso em situações aparentemente horríveis com o firme propósito de tentar examinar questões sociais de modo a torná-las empolgantes, torná-las interessantes, esperando quebrá-las de modo a torná-las divertidas e acessíveis a uma platéia.","Fato é que, durante grande parte da minha carreira, me imersionei em situações aparentesmente horríveis para examinar questionamentos sociais de forma que eles sejam engajantes, interessantes, e, espero-o, quebráveis de maneira entretenida e acessível a um público.",15936,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"an, in, gr, wl, ag",0.0372255172519354,0.2799762564305501,0.98154134,0.7624475359916687,74.4186046511628
en_pt_br,"So if we're serious about helping black boys and other children to read when it's not required, we need to incorporate relevant male reading models into early literacy and exchange some of the children's books that adults love so much for funny, silly or even gross books, like ""Gross Greg"".","Então, se estamos falando sério em ajudar as crianças a ler quando não for exigido, precisamos incorporar modelos de leitura relevantes no início da alfabetização e trocar alguns livros infantis que os adultos amam por livros engraçados, bobos ou até nojentos como o ""Gross Greg"".","Se formos sinceros em ajudar meninos negros e outros crianças a ler quando isso não é obrigatório, precisamos incorporar modelos leitos masculinos relevantes na alfabetização inicial e trocar algumas das livros dos adultos amamorosos por livros engraçados, ridículos ou mesmo grossos, como ""Gross Greg.",25983,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"om, wl, an, in, ag",0.1890299469515873,0.5155402449693788,0.9663846,0.6778818964958191,62.22222222222222
en_pt_br,"And for a moment I was wondering, are we going to live in order to see real change happening on the ground, a change that does not come through foreign intervention, through the misery of occupation, through nations invading our land and deepening the sense of inferiority sometimes?","E, por um momento, pensei será que viveremos o suficiente para ver mudanças reais acontecendo neste panorama, uma mudança que não seja por intervenção estrangeira, pela miséria da ocupação, de outras nações invadindo nossa terra e aprofundando, muitas vezes, o sentimento de inferioridade?","E por um momento me parecia questionar-nos se vivemos para ver mudanças acontecer no solo, mudanças que não vem pela intervenção externa, pelo sofrimento da ocupação, pelos países invadindo nossa terra e profundizando o sentido de inferioridade por vezes?",12042,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"wl, om, ad, wt, in",0.1230678567896472,0.4581673306772908,0.9836785,0.7641841769218445,67.44186046511628
en_pt_br,"Moonlighting as a stand-up comedian for the past eight years, I understand the importance of cultural competency, which I define as the ability to translate what you want someone else to know or be able to do into communication or experiences that they find relevant and engaging.","Ao fazer bico como comediante nos últimos oito anos, eu entendi a importância da competência cultural, a qual eu defino como a habilidade de traduzir o que você quer que as pessoas saibam ou façam em comunicação ou experiências relevantes e envolventes para elas.","Durante os últimos oito anos, tenhando atuado como comediante de stand-up, entendo a importância da competência cultural, que definiro como a capacidade de traduzir o que quero que alguém saiba ou seja capaz de fazer em comunicações ou experiências relevantes e engajantes para eles.",25955,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"in, wl, ag",0.2754418685614952,0.5487808180597079,0.98023194,0.8099133372306824,56.81818181818182
en_pt_br,"And what's interesting to me is that the teams that usually win are not the ones with the most experienced team members, but the ones with members who are open to learn, who are open to unlearn and who are open to helping each other navigate through the changing circumstances.","O mais interessante para mim é que as equipes vencedoras não são aquelas com membros de maior experiência, mas sim, as mais abertas a aprender, e a desaprender, abertas a auxiliar uma à outra, a navegar na alteração de circunstâncias.","Quero dizer que o que me chama a atenção é que as equipes que normalmente ganham não são as mais Experiencias, mas as que tem membros dispostos a aprender, a se desaprender e a ajudar umas das outras a se deslocar pelas circunstâncias mudantes.",14465,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"ad, wl, gr",0.110142496849483,0.3201072547601831,0.9808933,0.7438458800315857,80.0
en_pt_br,"I'm taking the temperature of the canal outside, pumping it through the heat exchange mechanism, it's turning through these amazing sails on the roof, and that, in turn, is falling softly onto the people in the restaurant, cooling them, or heating them, as the need may be.","Eu pego a temperatura do canal na parte de fora, bombeio pelo mecanismo de troca de calor, e ele é conduzido à essas saídas maravilhosas pelo teto, e que, por sua vez, cai suavemente sobre as pessoas do restaurante, refrescando-os, ou aquecendo-os, como a necessidade mandar.","Estou tomando a temperatura do canal exterior, bombeando-o através mecanismo de troca de calor, elas, em seguida, estão girando por esses incríveis velas no telhado, e isso, por fim, cai suavemente sobre as pessoas no restaurante, enfriando-as ou aquecendo-as, conforme for necessário.",3274,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"ag, gr, sp, wl",0.2465500499219249,0.4075979968051197,0.985598,0.7310168147087097,63.04347826086957
en_pt_br,"What the global delivery model allows is, it allows you to take previously geographically core-located tasks, break them up into parts, send them around the world where the expertise and the cost structure exists, and then specify the means for reintegrating them.","O modelo de entrega global permite que você pegue tarefas geograficamente localizadas, separe-as em partes, mande estas partes para lugares do mundo nos quais existam experiência e estrutura de custos, e então especifique os meios para reintegrá-las.","O modelo de entrega global permite que isso faça: permite que tarefas pré-localizadas geograficamente, sejam quebradas em partes, enviadas por todo o mundo onde existem a expertise e estrutura de custos adequados, e especificar os meios para sua reintegração.",69937,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"an, wl, un, ad",0.2610053310950547,0.5234396018294322,0.98752546,0.7962843775749207,64.86486486486487
en_pt_br,"However, if I today, then you tomorrow, maybe even more of us someday, if we embrace our right to look like ourselves, then in the world that's been violently whitewashed, we will become the pinpricks of color pushing through, much like those widows of Vrindavan.","No entanto, se eu hoje, depois você amanhã, talvez mais alguns de nós algum dia, se abraçarmos nosso direito de sermos nós mesmos, em um mundo que tem sido violentamente privado de cores, seremos esses raios de cores que abrem luz pelo caminho, como as viúvas de Vrindavan.","Para além disso, se eu hoje, então você amanhã, talvez mesmo mais de nos um dia, se nos reunimos para abraçar nosso direito de parecer nosso jeito, então no mundo que foi brutalmente esbranquecido, seremos as pontas de cor que penetram, assim como as viúvas de Vrindavan.",10769,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"gr, ad, wl, ie",0.2563518322088571,0.563103911458301,0.99162257,0.6042682528495789,62.5
en_pt_br,"And through campus-level proceedings, Title IX goes so far as to give victims equitable rights during the campus process, which means that victims can represent their own interests during proceedings, rather than relying on educational institutions to do so.","E em processos no campus, o Título IX chega ao ponto de dar às vítimas direitos iguais durante o processo no campus, o que significa que vítimas podem representar seus próprios interesses, em vez de terem que contar com as instituições educacionais para tal.","E por meios de procedimentos em nível de campus, a Title IX se estende até dar direitos equivocados a vítimas durante o processo escolar, o que significa que as vítimas podem defender suas interesses durante os procedimentos, em vez de confiar nas instituições educacionais para isso.",72326,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(3),"co, ag",0.1945422194795468,0.4996772706316275,0.9828254,0.7397609353065491,65.9090909090909
en_pt_br,And the magic and the horror of that is that the same math that you use to break up the big thing into a million little things can be used to find a million little things and sew them back together and figure out what's actually happening in the market.,"E a mágica e o horror disso é que a mesma matemática que se usa para partir a coisa grande em milhões de coisinhas pode ser usada para encontrar um milhão de coisinhas e as emendar, todas juntas novamente e entender o que realmente está acontecendo no mercado.",E o encanto e o horror da mesma coisa é que a mesma matemática que usas para quebrar a grande coisa em um milhão de pequenas coisas pode ser usada para encontrar um milhão de pequenas coisas e cosê-las novamente e descobrir o que realmente está acontecendo no mercado.,27134,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"wl, in",0.4188846585214066,0.7030478395061729,0.9784721,0.8004600405693054,41.66666666666667
